real_sortie_num,sortie_num,td_timestamp,Name,Pilot,td_longitude,td_latitude,CAS_kt,AGL_ft,VS_fpm,vert_Acc_fpm2,vert_Jerk_fpm3
1,1,21:31:12.297144,F-16C_50,< 404C > Phoenix,145.7264342,15.1177538,173.930892944336,4.474660060424813,-501.7938865661626,9742.375563281696,9105285.936697824
1,1,21:36:00.896868,F-16C_50,< 404C > IR.shadow,145.7199165,15.1153268,163.0157470703124,7.443465823974625,-677.3867538452158,6050.0376892973245,859379.72696402
1,1,21:39:55.396645,F-16C_50,< 404 > Aria,144.9209183,13.5827212,152.0152282714844,7.305596052246094,-319.3676185607905,1902.2385405388325,3860345.76399163
1,1,21:40:03.296637,F-16C_50,< 404 > Candid,144.9244113,13.5840301,162.661392211914,7.4193361108398435,-163.9145103454591,-656.9075775241753,328453.7887515517
1,1,22:11:25.294842,F-16C_50,< 404C > F.U.B.A.R,145.7199654,15.1152817,157.0736541748046,5.75428578125,-457.2551322937017,426.67453766528234,2419882.5101778754
2,2,22:22:46.594193,F-16C_50,< 404C > Phoenix,144.9246307,13.5843089,172.0387878417968,7.220391131591813,-69.91094589233408,1230.0121307552315,1564148.894564716
2,2,22:23:54.594128,F-16C_50,< 404C > IR.shadow,144.9198173,13.5823239,152.2139739990234,6.805380090332031,-208.9729034423828,1292.1885681337499,1768514.1449489307
1,1,22:30:08.793771,F-16C_50,< 404 > D1CE,144.9191412,13.5821251,173.448471069336,7.302241921997061,-198.81441497802834,1099.3515014808413,1825824.600273065
3,3,22:39:08.693256,F-16C_50,< 404C > IR.shadow,144.9183127,13.5815852,151.457534790039,7.932367854003906,-589.8201026916498,16065.850752848879,383060.9206983779
3,3,22:41:09.093141,F-16C_50,< 404C > Phoenix,144.9171175,13.5809588,162.4856262207032,7.312404436035156,-190.04062881469716,13731.981582841576,215184.5401019343
3,4,22:41:14.693136,F-16C_50,< 404C > Phoenix,144.9209473,13.5826299,157.0297088623046,7.002723096923812,-387.0618392944346,886.6900634894758,2198342.5598786166
2,2,22:47:17.692790,F-16C_50,< 404C > F.U.B.A.R,144.9196527,13.5820856,141.4432220458984,7.3444939508056555,-67.67619857788095,-2144.636535519697,158413.72863601666
2,2,22:50:49.492588,F-16C_50,< 404 > Aria,144.9210173,13.5825734,170.2189178466796,7.968412238769531,-123.23550109863281,4135.183639586506,1028073.8753166805
2,2,22:50:56.092581,F-16C_50,< 404 > Candid,144.9186721,13.5817923,189.8499145507812,7.937474141845687,-436.18422851562497,3424.2095947763914,2432720.826677375
1,1,22:53:23.892440,F-16C_50,< 404 > A D L E R,144.924494,13.5842238,182.0868377685546,7.688367393798812,-247.80764541625928,1862.5991109318336,294390.1544529111
1,1,22:57:18.792216,F-16C_50,< 404C > Arsenlopen,144.809171,13.4882632,174.508529663086,7.999425428161626,-459.53643684387276,11545.501262965476,1635640.144272682
3,3,23:00:59.192006,F-16C_50,< 404C > F.U.B.A.R,144.9171036,13.5809887,143.1188049316406,6.084442333374032,-364.3989784240718,1675.1593780756846,1004825.2945238363
